AAA.AD.AA,AAA-Brain (Encephalon),AD-Biopsy,AA-Open approach,Intracranial biopsy,Biopsy of choroid plexus;<br/> Biopsy of ventricles of brain;<br/> Open biopsy of brain;<br/> Open biopsy of brain via osteoplastic craniotomy,via: burr hole approach;<br/> osteoplastic flap,
AAA.BA.BA,AAA-Brain (Encephalon),BA-(Diagnostic) Imaging,"BA-Radiation, not otherwise specified",Encephalography,Pneumoencephalogram,,
AAA.BA.BB,AAA-Brain (Encephalon),BA-(Diagnostic) Imaging,BB-Radiation with contrast medium,Other contrast radiogram of brain,Pneumoventriculogram;<br/> Posterior fossa myelogram,,
AAA.AF.BO,AAA-Brain (Encephalon),AF-Mapping,BO-Magnetic field,Magnetoelectroencephalography,"MEG;<br/><br />
MEG monitoring",,"video and radio-telemetered electroencephalographic monitoring (<a href=""#http://id.who.int/ichi/entity/1146429673"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11669}"" title=""Video and radio-telemetered electroencephalography monitoring"">AAA.AI.BL</a>);<br/> electroencephalography monitoring (<a href=""#http://id.who.int/ichi/entity/908206837"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11668}"" title=""Electroencephalography monitoring"">AAA.AI.AH</a>);<br/> magnetic resonance imaging of brain (<a href=""#http://id.who.int/ichi/entity/945796874"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11677}"" title=""Magnetic resonance imaging of brain, not elsewhere classified"">AAA.BA.BH</a>)"
AAA.AI.BL,AAA-Brain (Encephalon),AI-Monitoring,BL-Image [capture and] analysis,Video and radio-telemetered electroencephalography monitoring,Video EEG monitoring,,
AAA.AD.AE,AAA-Brain (Encephalon),AD-Biopsy,AE-Percutaneous,Closed biopsy of brain,Biopsy of brain via neuroendoscopy,Needle biopsy;<br/> Percutaneous biopsy;<br/> Stereotactic method;<br/> Trephine biopsy,"closed biopsy of ventricles of brain (<a href=""#http://id.who.int/ichi/entity/438784607"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11712}"" title=""Closed biopsy of ventricles of brain"">AAE.AD.AE</a>)"
"<span class=""text-retired"" title=""Retired ICHI code"">AAA.AL.AH</span>",AAA-Brain (Encephalon),"<span class=""text-retired"" title=""Retired ACTION code"">AL</span>-<span class=""text-retired"" title=""Retired ACTION code"">Challenge</span>",AH-External,"<span class=""text-retired"" title=""Retired ICHI code"">Electroencephalography response to challenges</span>",EEG response to challenges;<br/> Intermittent light stimulation;<br/> Pharmacological challenge;<br/> Prolonged hyperventilation,,"video and radio-telemetered electroencephalographic monitoring (<a href=""#http://id.who.int/ichi/entity/1146429673"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11669}"" title=""Video and radio-telemetered electroencephalography monitoring"">AAA.AI.BL</a>);<br/> electroencephalography monitoring (<a href=""#http://id.who.int/ichi/entity/908206837"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11668}"" title=""Electroencephalography monitoring"">AAA.AI.AH</a>)"
AAA.AF.AH,AAA-Brain (Encephalon),AF-Mapping,AH-External,Electroencephalography,"EEG;<br/> EEG response to challenges;<br/> Electrocorticography;<br/> Intermittent light stimulation;<br/> Mapping, brain;<br/> Mapping, cortical;<br/> Pharmacological challenge;<br/> Prolonged hyperventilation",,"video and radio-telemetered electroencephalographic monitoring (<a href=""#http://id.who.int/ichi/entity/1146429673"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11669}"" title=""Video and radio-telemetered electroencephalography monitoring"">AAA.AI.BL</a>);<br/> electroencephalography monitoring (<a href=""#http://id.who.int/ichi/entity/908206837"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11668}"" title=""Electroencephalography monitoring"">AAA.AI.AH</a>)"
AAA.AI.AE,AAA-Brain (Encephalon),AI-Monitoring,AE-Percutaneous,Intracranial monitoring,Brain temperature monitoring;<br/> Intracranial oxygen monitoring;<br/> Intracranial pressure monitoring,insertion of catheter or probe for monitoring,
AAA.BA.BC,AAA-Brain (Encephalon),BA-(Diagnostic) Imaging,"BC-Computerised tomography, not otherwise specified","Computerised tomography of brain, not elsewhere classified","Cerebral scan, NEC;<br/> CT brain NEC",,
AAA.AI.AH,AAA-Brain (Encephalon),AI-Monitoring,AH-External,Electroencephalography monitoring,EEG Holter;<br/> EEG monitoring,,
AAA.BA.BD,AAA-Brain (Encephalon),BA-(Diagnostic) Imaging,BD-Computerised tomography with contrast medium,Computerised tomography of brain with intravenous contrast medium,Cerebral scan with IV contrast;<br/> CT brain with IV contrast,,
AAA.BA.BF,AAA-Brain (Encephalon),BA-(Diagnostic) Imaging,BF-Ionising agents emitting (single) photons,Single photon emission computerised tomography of brain,Cerebral SPECT;<br/> SPECT of brain,,
AAA.BA.BG,AAA-Brain (Encephalon),BA-(Diagnostic) Imaging,BG-Ionising agents emitting positrons,Positron emission tomography of brain,PET scan of brain,,
